"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"22","Keep your little one bundled up in the most adorable winter essentials from @StellaMcCartney, @dolcegabbana, ",FALSE,5,NA,2017-11-19 17:40:09,TRUE,NA,"932302491504578560",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"23","Take your accessories to the extreme this season: ",FALSE,3,NA,2017-11-19 16:24:02,FALSE,NA,"932283336202117120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"24","Give back every time you give #ASpecialBag! From @Margiela to @marniofficial, 6 designers partnered with ",FALSE,4,NA,2017-11-17 18:01:21,TRUE,NA,"931583050542206976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",5,FALSE,FALSE,NA,NA
"25","How are local markets inspiring the fashion industry? Watch an exclusive panel discussion with @prabalgurung and ",FALSE,3,NA,2017-11-16 20:39:53,TRUE,NA,"931260555444260866",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"26","@JohnGeiger_ Time to work! ",FALSE,0,"JohnGeiger_",2017-11-15 18:15:53,FALSE,"930861726207266828","930861929568129024","97917847","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",3,FALSE,FALSE,NA,NA
"27"," ",FALSE,6,NA,2017-11-15 11:21:33,FALSE,NA,"930757658424070144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",0,FALSE,FALSE,NA,NA
"28","Don't miss @glamourmag's Women of the Year Live Summit! Keep an eye out for the Fashion for Women by Women - Meet ",FALSE,6,NA,2017-11-13 14:26:04,TRUE,NA,"930079321619943424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"29","Holiday partywear so good you won't want to take it off: ",FALSE,5,NA,2017-11-11 17:20:20,FALSE,NA,"929398401531334658",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"30","Cult favourite bags by the likes of Chanel, Dior and Herms make the ultimate gift for any vintage lover: ",FALSE,9,NA,2017-11-11 14:45:22,TRUE,NA,"929359401340764160",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"31","New @NBHD_INFO has just arrived: ",FALSE,4,NA,2017-11-11 12:21:47,FALSE,NA,"929323265537007616",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"32","'Tis the season to #GiveItLiveIt. Turn the perfect gift into a moment you'll never forget.  ",FALSE,5,NA,2017-11-08 00:59:42,FALSE,NA,"928064450820747266",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"33","@yvpraag Hello! Thank you for contacting us. Would you be so kind and send us a DM? Thanks, Farfetch",FALSE,0,"yvpraag",2017-11-08 00:42:38,FALSE,"928003695022833664","928060158516846598","799264790380249089","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"34","Don't miss our own @Farfetch_jose talking leadership at @WebSummit: ",FALSE,8,NA,2017-11-07 12:54:13,FALSE,NA,"927881878048333825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",2,FALSE,FALSE,NA,NA
"35","@maz5 Hello! Thank you for contacting us! Was there something that you needed help with? Thanks, Farfetch",FALSE,0,"maz5",2017-10-25 17:08:38,FALSE,"923223032189120518","923234861279739911","19265196","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"36","I want my designs to allow women to feel strong, feminine [and] sexy. @StellaMcCartney talks fashion: ",FALSE,18,NA,2017-10-25 00:09:50,TRUE,NA,"922978470036213760",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",4,FALSE,FALSE,NA,NA
"37","Congrats to our own @Farfetch_jose for his #FashionAwards nomination as Business Leader! ",FALSE,11,NA,2017-10-23 12:55:51,FALSE,NA,"922446471038980096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"38","@damndee__ It happens to the best of us. ",FALSE,0,"damndee__",2017-10-22 21:55:09,FALSE,"922127465476182016","922219802374098945","324116705","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",0,FALSE,FALSE,NA,NA
"39","Follow us on Instagram to see more pint-size street style stars: ",FALSE,6,NA,2017-10-22 21:51:13,FALSE,NA,"922218813659246592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",1,FALSE,FALSE,NA,NA
"40","@itssunny Hello, can you please send us a DM with your order number so we can look into it for you. Thanks, Farfetch",FALSE,1,"itssunny",2017-10-22 19:35:11,FALSE,"922160457342787584","922184576809791488","22511805","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"41","Weve got winter wrapped with the smartest, warmest coats of the season: ",FALSE,2,NA,2017-10-22 19:00:51,FALSE,NA,"922175937344688129",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"42","True or False: You need new shoes. ",FALSE,4,NA,2017-10-22 17:48:14,FALSE,NA,"922157665027067905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",1,FALSE,FALSE,NA,NA
"43","You're in for a treat! Make sure your little one is decked out in the bestand spookieststyles this Halloween: ",FALSE,3,NA,2017-10-22 14:15:12,TRUE,NA,"922104050455339008",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
